,China,France,United Kingdom,India,Pakistan,North Korea,Russian Federation,United States
1960,,54.4731477904049,2.27318591979704,,,,,18.4398990094776
1961,,48.4677782785038,2.62657306679484,,,,,18.2712311420234
1962,,41.605663538105,2.3398862512364,,,,,18.8808852744802
1963,,47.7021461088229,1.89345038299337,,,,,17.2554153454428
1964,,35.6488186265077,1.95742170859321,,,,,17.1601518179567
1965,,44.1725249250834,2.13229094811068,,,,,17.5241366049109
1966,,47.1036791712164,1.99098924955021,,,,,16.2490883349779
1967,,38.8147425696833,2.11035519494286,,,,,17.4478866751123
1968,,40.896038158279,1.59781148789176,,,,,15.9292412617221
1969,,38.5023276112889,1.34846007372815,,,,,16.5308085169344
1970,,38.6004822165616,1.80917206286742,,,,,15.4246805974046
1971,21.573111274108,31.3425174367497,1.31297017469776,42.2240298867197,48.5868991019546,61.6419919246299,,15.4688912632531
1972,22.1274934105626,28.5173567911402,1.29049690410135,38.5770605252709,48.5868991019546,59.2875318066158,,14.6392243784672
1973,22.5266614894866,26.1292655664409,1.37123603173249,39.808505961866,51.9875850543154,57.1773220747889,,13.5020495963132
1974,25.2112172327464,30.0898596177621,1.49264689686566,36.3624507681473,45.7303618711386,55.2752293577982,,15.5350514858213
1975,22.6951785354045,32.4360205942988,1.38520624838436,38.7670786490701,43.8487073735037,53.551912568306,,15.0697607350982
1976,22.0973056793952,23.584332813555,1.33973169039411,36.4419808607436,52.6744186046512,52.7542372881356,,13.4026549645292
1977,21.0343974263796,36.2613447374673,1.37365562772868,38.4309801067443,47.6693941344121,52.0041109969168,,9.97283706629566
1978,17.3843899092582,30.223086957483,1.39460033093395,42.83340446204,60.1373737373737,51.2974051896208,,12.2266389575047
1979,17.769107997872,27.6139543974483,1.42142008069782,40.3222804265163,58.0781712995626,50.6304558680892,,11.9754812445676
1980,19.3626717227156,27.0166493074448,1.36972799053758,38.6657143569002,58.1942032856952,50,,11.485135870013
1981,21.1950722669512,26.1894568806008,1.57103257353712,37.4692057734452,56.3005852322251,49.4031221303949,,10.8037918379138
1982,22.705078125,25.337561227861,1.66742737672816,34.197989850299,53.8500678426052,48.8372093023256,,13.140637918738
1983,24.5731846118825,23.5086792682803,1.6518668781095,32.8882161308368,57.69914200132,48.2999128160418,,13.6972446346323
1984,22.9947799358754,20.3565440271747,1.42191757371717,31.3973039486622,58.6385040918027,47.7891156462585,,12.6566418484977
1985,22.491416883781,18.0748144818043,1.38776258062765,27.4276409832013,53.214798069817,49.003984063745,,10.8301941051798
1986,21.0286299023424,17.328807204089,1.59208965943445,26.4052242720779,53.9450545156122,51.3833992094862,,11.1281330927021
1987,20.1118104852495,18.72745336599,1.37148426622111,21.390263468628,53.1303348082082,52.1072796934866,,8.7166249507303
1988,20.0198088809816,19.6093605854979,1.60844359524477,23.6918795022921,50.4366746245203,53.763440860215,,7.2921951461875
1989,20.244181871035,11.5571426447338,1.51882945550492,22.8579417109978,49.0448252940666,51.3698630136986,,8.18958875099668
1990,20.39699453376,12.9113444663098,1.63868389167755,24.4783624612273,44.9260743768747,56.3176895306859,15.3321344875766,8.52850291290812
1991,18.4600627190555,12.7547540809367,1.43892056063133,22.7951863081665,44.5588664913818,57.0342205323194,15.6880551002047,8.85452350156226
1992,17.5673113009252,14.9900763242618,1.70066323047729,20.7265533941711,43.2534316738373,57.4898785425101,17.0403093856909,7.77750973293255
1993,18.108203850434,13.8176189279768,1.33741625604278,19.5313777383641,38.3761797575327,60.1809954751131,18.1436263605182,8.35318677171298
1994,18.0340319635441,16.6024361926956,1.56726887860589,21.1679243013922,42.6813556157222,59.7402597402597,20.0002057422667,7.61242587265306
1995,18.9080616004937,14.885759597395,1.45508573215956,17.1354387952603,40.7430166616922,61.7391304347826,20.4197544661046,8.82751503917239
1996,17.4003925053692,12.9711681986016,0.971335163592537,15.5587306531597,35.2778012684989,58.6854460093897,18.1203215444724,9.61108049749619
1997,17.2537257194371,12.7279804381456,1.19394008820666,15.7953194352181,35.4919153728582,55.440414507772,18.7936733503446,9.0729041288376
1998,17.8158458244111,12.2407178876566,1.41741834889318,16.4769896238419,34.3109983493306,60,19.1841092050366,7.78274907846069
1999,16.4370160501384,13.9119057165934,1.46091718001369,14.814482291075,29.3219823654606,55.3763440860215,18.9853397480561,7.17447009761883
2000,16.40538216086,12.400034380699,1.35853088480801,13.0706632402297,25.2422338363967,52.5773195876289,18.7202499121474,6.28939972204869
2001,18.7333932498688,13.6198251926512,1.06075822244539,12.5298595136448,26.1507662570758,52.4752475247525,19.5538678987511,4.90388870987027
2002,17.4090356216191,10.9092715351408,1.24468596835632,11.2070066928528,29.5241995138962,53.7014563106796,18.2407299125616,6.63207993047882
2003,14.8465397185929,10.4975209437511,0.816003479457043,12.4150901070468,33.3341581096128,55.8148395085246,17.0356808497607,6.87134694026536
2004,16.0446416658573,10.471945279668,1.23773889664126,13.2329226554151,29.9793294327856,56.8879989077504,18.9076303493368,6.5359877340842
2005,15.8777203929188,9.01244726107736,1.24473352789144,15.078473456521,32.9620096337673,57.3149441340782,18.1543779746604,6.38210849806987
2006,15.2056173965109,9.88774779078099,1.16742495488397,15.5562792717347,32.5343895410994,56.2513929128594,17.4423085630342,6.82732746184747
2007,14.7865646491701,10.2179643182762,1.29195284130381,15.5257096299858,30.0090946153605,61.7014356734656,17.4707099572824,5.77298582418942
2008,16.8778706645304,11.190888920925,1.3359145596757,13.76817487962,30.3265805099546,60.6248653307477,15.8665332602744,5.91101041220544
