name,latitude,longitude
Geysers Unit 5-20,38.777,-122.745
Tiger Creek,38.449291,-120.492645
Tule River,36.163076,-118.707104
Volta 1,40.459111,-121.86708
West Point PH,38.420898,-120.549572
Wise,38.889862,-121.098525
A G Wishon,37.15105,-119.504724
Copco 1,41.978914,-122.335317
Copco 2,41.975716,-122.358127
Fall Creek,41.985605,-122.360455
Iron Gate,41.932981,-122.43678
Limestone,31.4219,-96.2525
Blundell,38.4889,-112.8533
Division,32.681667,-117.120277
El Cajon,32.7958,-116.9722
Encina,33.1361,-117.3364
Kearny,32.834,-117.1338
Miramar,32.8761,-117.1664
Naval Station,32.681667,-117.120277
North Island,32.705,-117.190277
Silver Gate,32.697222,-117.114722
Refuse & Coal,39.902222,-83.024444
Green Lake,56.986284,-135.12275
Drop 5,32.673097,-115.392026
AES Alamitos LLC,33.7688,-118.1009
Sepulveda Canyon,34.0969,-118.4795
Big Creek 1,37.2042,-119.2396
Big Creek 2,37.2,-119.3069
Big Creek 3,37.148517,-119.386623
Big Creek 4,37.139,-119.4898
Big Creek 8,37.2096,-119.3289
Big Creek 2A,37.200062,-119.30681
Bishop Creek 2,37.273581,-118.573339
Bishop Creek 3,37.301962,-118.531957
Bishop Creek 4,37.323035,-118.501714
Bishop Creek 5,37.3344,-118.4797
Bishop Creek 6,37.3499,-118.4628
Borel,35.588069,-118.524804
Coolwater,34.8606,-116.8539
El Segundo Power,33.909804,-118.424172
Etiwanda Generating Station,34.09118,-117.52663
Fontana,34.155162,-117.397119
AES Huntington Beach LLC,33.6439,-117.9792
Kaweah 2,36.461326,-118.87988
Kaweah 1,36.465066,-118.862023
Kaweah 3,36.486059,-118.835645
Kern River 3,35.776185,-118.436233
Kern River 1,35.460303,-118.77959
Long Beach Generation LLC,33.7641,-118.2248
Lundy,38.042729,-119.172015
Mammoth Pool,37.220302,-119.337983
Mandalay,34.2067,-119.2511
Ormond Beach,34.1292,-119.1689
Poole,37.944237,-119.2161
Portal,37.257045,-119.158936
AES Redondo Beach LLC,33.8504,-118.395
Rush Creek,37.766954,-119.123284
Mountainview Generating Station,34.0818,-117.2418
San Onofre Nuclear Generating Station,33.368794,-117.554916
Santa Ana 1,34.14522,-117.058481
Santa Ana 3,34.107245,-117.099091
Lower Tule River,36.13568,-118.788868
Columbia Generating Station,46.4711,-119.3339
Magnolia,34.178056,-118.315556
Pardee,38.2569,-120.8507
Grayson,34.1556,-118.2782
Prairie River,47.287206,-93.498266
Dion R Holm,37.896649,-119.9675
Moccasin,37.809388,-120.299254
R C Kirkwood,37.877667,-119.953233
Brawley,32.968889,-115.534444
Joliet 29,41.494636,-88.123827
Drop 2 (CA),32.705435,-115.030975
Drop 3 (CA),32.705428,-115.126103
Drop 4,32.705341,-115.219067
Pilot Knob,32.736642,-114.713858
El Centro,32.802222,-115.54
Solomon Gulch,61.0828,-146.3033
Big Pine Creek,37.142795,-118.324075
Castaic,34.587237,-118.656638
Control Gorge,37.437921,-118.556988
Cottonwood,36.443421,-118.04389
Foothill,34.318248,-118.494449
Franklin (CA),34.103931,-118.413377
Haiwee,36.109722,-117.956667
Harbor,33.7706,-118.2656
Haynes,33.764741,-118.09913
Middle Gorge,37.51,-118.569167
Pleasant Valley Hydro,37.41416,-118.523889
San Fernando,34.312778,-118.492778
Scattergood,33.918151,-118.427648
Tok,63.33552,-142.99997
Upper Gorge,37.546036,-118.590001
Valley (CA),34.244991,-118.391327
Exchequer,37.584345,-120.26859
McSwain,37.522065,-120.31009
Chicago Park,39.177903,-120.890856
Dutch Flat 2,39.2184,-120.8352
Beardsley,38.202569,-120.076983
Donnells,38.246656,-120.034072
Tulloch,37.876111,-120.605
Forbestown,39.551012,-121.278784
Kelly Ridge,39.531784,-121.491247
Woodleaf,39.553811,-121.204077
Broadway (CA),34.1254,-118.148
Craig (AK),55.47691,-133.14869
Glenarm,34.126,-118.1494
Hydaburg,55.204937,-132.821435
French Meadows,39.077971,-120.406069
Middle Fork,39.024801,-120.596383
Oxbow (CA),39.003372,-120.746651
Ralston,39.000999,-120.725053
Parker,37.477838,-120.444492
