name,latitude,longitude,authority,source,owner
SCE&G Nimitz CSG,32.497759,-80.956084,South Carolina Electric & Gas Company,,South Carolina Electric&Gas Company
SCE&G Springfield CSG,33.491000,-81.297000,South Carolina Electric & Gas Company,,South Carolina Electric&Gas Company
DG AMP Solar Coldwater,41.934117,-84.997244,"Midcontinent Independent Transmission System Operator, Inc..",,Coldwater Board of Public Util
DG AMP Solar Orrville 3,40.856428,-81.759461,"PJM Interconnection, LLC",,City of Orrville - (OH)
DG AMP Solar Versailles,40.220700,-84.497800,"PJM Interconnection, LLC",,Village of Versailles - (OH)
DG AMP Solar Jackson Center,40.444969,-84.047247,"PJM Interconnection, LLC",,Village of Jackson Center - (OH)
Panasonic Carport Solar,39.808719,-104.781494,Public Service Company of Colorado,,Public Service Co of Colorado
Denver Braswell PV,31.300000,-83.800000,"Southern Company Services, Inc. - Trans",,Georgia Power Co
Foundation California Training Facility,36.464000,-121.382000,California Independent System Operator,,Pacific Gas & Electric Co
Foundation Mann Packing,36.504000,-121.454000,California Independent System Operator,,Pacific Gas & Electric Co
Foundation SaIinas Valley State Prison,36.474000,-121.371000,California Independent System Operator,,Pacific Gas & Electric Co
RE Gaskell West 1 LLC,34.832786,-118.563578,California Independent System Operator,,Southern California Edison Co
RE Gaskell West 2 LLC,34.834944,-118.551181,California Independent System Operator,,Southern California Edison Co
RE Gaskell West 3 LLC,34.834944,-118.551181,California Independent System Operator,,Southern California Edison Co
RE Gaskell West 4 LLC,34.827873,-118.568178,California Independent System Operator,,Southern California Edison Co
RE Gaskell West 5 LLC,34.834944,-118.551181,California Independent System Operator,,Southern California Edison Co
Farmington Solar Farm,37.755333,-90.427736,"Midcontinent Independent Transmission System Operator, Inc..",,City of Farmington - (MO)
Northfield Holdco CSG,44.457874,-93.124648,"Midcontinent Independent Transmission System Operator, Inc..",,Excelsior Electric Member Corp
Waterford Holdco CSG,44.475467,-93.198590,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
B.R. Corcoran CSG,45.069500,-93.643200,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Wisconsin
B.R. Sartell CSG,45.665000,-94.225400,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Wisconsin
B.R. Sauk Rapids CSG,45.623600,-94.078200,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Wisconsin
Montgomery Winsted CSG,44.951700,-94.055600,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Wisconsin
Palmer Solar Center,37.967240,-78.230963,"PJM Interconnection, LLC",,Central Virginia Electric Coop
Martin Solar Center,37.880510,-78.049191,"PJM Interconnection, LLC",,Central Virginia Electric Coop
Georgia Power at Swainsboro,32.605000,-82.321000,"Southern Company Services, Inc. - Trans",,Georgia Power Co
IOS - MEW Phase 1,44.804000,-69.838000,ISO New England Inc.,,Town of Madison - (ME)
North Smithfield Solar Power 1,41.975900,-71.586000,ISO New England Inc.,,The Narragansett Electric Co
SR Platte Solar Farm,40.181742,-104.692067,Public Service Company of Colorado,,"United Power, Inc"
Vandenberg Solar Project,34.749708,-120.509982,California Independent System Operator,,Pacific Gas & Electric Co.
"CoreSite Real Estate 2972 Stender, L.P.",37.376248,-121.970706,California Independent System Operator,,Pacific Gas & Electric Co.
IGS Solar I - BWI2,39.267000,-76.548000,"PJM Interconnection, LLC",,Baltimore Gas & Electric Co
IOS - ERW9,40.595000,-74.225000,"PJM Interconnection, LLC",,Public Service Elec & Gas Co
City of Lexington,40.757000,-99.734000,Southwest Power Pool,,City of Lexington - (NE)
Valdosta Prison,30.900000,-83.300000,"Southern Company Services, Inc. - Trans",,Georgia Power Co
Lichtenthal,43.020053,-78.158181,New York Independent System Operator,,Niagara Mohawk Power Corp.
Call Farms 1,43.037794,-78.187295,New York Independent System Operator,,Niagara Mohawk Power Corp.
Call Farms 3,43.023046,-78.178591,New York Independent System Operator,,Niagara Mohawk Power Corp.
San Luis Solar Garden,37.068132,-106.018925,Public Service Company of Colorado,,Public Service Co of Colorado
Hopewell Valley High School,40.328005,-74.804896,"PJM Interconnection, LLC",,Public Service Elec & Gas Co
CoreSite Real Estate 55 S. Market Street,37.334151,-121.891622,California Independent System Operator,,Pacific Gas & Electric Co.
"CoreSite Real Estate 1656 McCarthy, L.P.",37.405727,-121.916248,California Independent System Operator,,Pacific Gas & Electric Co.
"CoreSite Real Estate 2901 Coronado, L.P.",37.375089,-121.971728,California Independent System Operator,,Pacific Gas & Electric Co.
